"Time
(hours)","MSE
24-hr~
6
(depth)"
0.00,0.000000
0.10,0.000713
0.20,0.001450
0.30,0.002210
0.40,0.003000
0.50,0.003800
0.60,0.004640
0.70,0.005490
0.80,0.006370
0.90,0.007270
1.00,0.008200
1.10,0.009150
1.20,0.010130
1.30,0.011120
1.40,0.012150
1.50,0.013190
1.60,0.014260
1.70,0.015350
1.80,0.016470
1.90,0.017610
2.00,0.018780
2.10,0.019960
2.20,0.021180
2.30,0.022410
2.40,0.023670
2.50,0.024950
2.60,0.026260
2.70,0.027590
2.80,0.028940
2.90,0.030320
3.00,0.031720
3.10,0.033150
3.20,0.034600
3.30,0.036070
3.40,0.037570
3.50,0.039090
3.60,0.040630
3.70,0.042200
3.80,0.043790
3.90,0.045400
4.00,0.047040
4.10,0.048710
4.20,0.050390
4.30,0.052100
4.40,0.053840
4.50,0.055590
4.60,0.057370
4.70,0.059180
4.80,0.061010
4.90,0.062860
5.00,0.064740
5.10,0.066640
5.20,0.068560
5.30,0.070510
5.40,0.072480
5.50,0.074470
5.60,0.076490
5.70,0.078530
5.80,0.080600
5.90,0.082690
6.00,0.084800
6.10,0.086940
6.20,0.089100
6.30,0.091290
6.40,0.093490
6.50,0.095730
6.60,0.097980
6.70,0.100260
6.80,0.102560
6.90,0.104890
7.00,0.107240
7.10,0.109620
7.20,0.112010
7.30,0.114440
7.40,0.116880
7.50,0.119350
7.60,0.121840
7.70,0.124360
7.80,0.126900
7.90,0.129470
8.00,0.132050
8.10,0.134670
8.20,0.137300
8.30,0.139960
8.40,0.142640
8.50,0.145350
8.60,0.148080
8.70,0.150830
8.80,0.153610
8.90,0.156410
9.00,0.159240
9.10,0.163270
9.20,0.167350
9.30,0.171480
9.40,0.175660
9.50,0.179900
9.60,0.184180
9.70,0.188510
9.80,0.192890
9.90,0.197320
10.00,0.201800
10.10,0.206320
10.20,0.210900
10.30,0.215530
10.40,0.220210
10.50,0.224940
10.60,0.231450
10.70,0.238570
10.80,0.246300
10.90,0.254650
11.00,0.263600
11.10,0.273160
11.20,0.283330
11.30,0.294110
11.40,0.305500
11.50,0.317500
11.60,0.333120
11.70,0.353470
11.80,0.380460
11.90,0.416600
12.00,0.479040
12.10,0.583400
12.20,0.619540
12.30,0.646530
12.40,0.666880
12.50,0.682500
12.60,0.694500
12.70,0.705890
12.80,0.716670
12.90,0.726840
13.00,0.736400
13.10,0.745350
13.20,0.753700
13.30,0.761430
13.40,0.768550
13.50,0.775060
13.60,0.779790
13.70,0.784470
13.80,0.789100
13.90,0.793680
14.00,0.798200
14.10,0.802680
14.20,0.807110
14.30,0.811490
14.40,0.815820
14.50,0.820100
14.60,0.824340
14.70,0.828520
14.80,0.832650
14.90,0.836730
15.00,0.840760
15.10,0.843590
15.20,0.846390
15.30,0.849170
15.40,0.851920
15.50,0.854650
15.60,0.857360
15.70,0.860040
15.80,0.862700
15.90,0.865330
16.00,0.867950
16.10,0.870530
16.20,0.873100
16.30,0.875640
16.40,0.878160
16.50,0.880650
16.60,0.883120
16.70,0.885560
16.80,0.887990
16.90,0.890380
17.00,0.892760
17.10,0.895110
17.20,0.897440
17.30,0.899740
17.40,0.902020
17.50,0.904270
17.60,0.906510
17.70,0.908710
17.80,0.910900
17.90,0.913060
18.00,0.915200
18.10,0.917310
18.20,0.919400
18.30,0.921470
18.40,0.923510
18.50,0.925530
18.60,0.927520
18.70,0.929490
18.80,0.931440
18.90,0.933360
19.00,0.935260
19.10,0.937140
19.20,0.938990
19.30,0.940820
19.40,0.942630
19.50,0.944410
19.60,0.946160
19.70,0.947900
19.80,0.949610
19.90,0.951290
20.00,0.952960
20.10,0.954600
20.20,0.956210
20.30,0.957800
20.40,0.959370
20.50,0.960910
20.60,0.962430
20.70,0.963930
20.80,0.965400
20.90,0.966850
21.00,0.968280
21.10,0.969680
21.20,0.971060
21.30,0.972410
21.40,0.973740
21.50,0.975050
21.60,0.976330
21.70,0.977590
21.80,0.978820
21.90,0.980040
22.00,0.981220
22.10,0.982390
22.20,0.983530
22.30,0.984650
22.40,0.985740
22.50,0.986810
22.60,0.987850
22.70,0.988880
22.80,0.989870
22.90,0.990850
23.00,0.991800
23.10,0.992730
23.20,0.993630
23.30,0.994510
23.40,0.995360
23.50,0.996200
23.60,0.997000
23.70,0.997790
23.80,0.998550
23.90,0.999287
24.00,1.000000
